lat_mean,lon_mean,commercial_ratio,institution_ratio,other_ratio,public_ratio,residential_ratio,theft_ratio,battery_ratio,criminal_damage_ratio,assault_ratio,deceptive_practice_ratio,other_crime_ratio,district_1,district_2,district_3,district_4,district_5,district_6,district_7,district_8,district_9,district_10,district_11,district_12,district_14,district_15,district_16,district_17,district_18,district_19,district_20,district_22,district_24,district_25
0.999954639375602,0.61345769261888,0.024345523072221657,0.0,0.3530610166038505,0.3058979321585006,0.31669552816542734,0.27554242640317816,0.18844860955485382,0.11602322501782622,0.06519303249465214,0.0639706631353774,0.2908220433941123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9692141989667533,0.5496673036457764,0.02000207275365323,0.0,0.32262410612498704,0.3277023525753964,0.3296714685459633,0.23287387294020107,0.17338584309254845,0.13845994403565137,0.0628044356928179,0.07316820395895948,0.31930770027982175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.8739243617261252,0.6528387915415408,0.02890118275467379,0.0,0.3964135826020603,0.3059900801220908,0.26869515452117515,0.26497520030522703,0.19019458222052651,0.0886112170927127,0.07191911484166348,0.09566959175887066,0.28863029378099964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.8907654134149823,0.5625632158917995,0.026954177897574125,0.0,0.42443845462713387,0.2889487870619946,0.25965858041329737,0.28643306379155437,0.15489667565139265,0.11949685534591195,0.05678346810422282,0.10314465408805032,0.2792452830188679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.8205612710651167,0.5777082069616313,0.024282560706401765,0.0,0.44763306352710325,0.30267353446161394,0.22541084130488104,0.3610497915133677,0.09075300466028943,0.11160166789305861,0.041697326465538385,0.11896001962227128,0.27593818984547464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.809847424354615,0.6615668709243607,0.04064113338936247,0.0,0.4487333413374955,0.3038780165686157,0.20674750870452635,0.37723616280465844,0.13915235922679794,0.08722535718573658,0.036739104334253814,0.11129787489494537,0.24834914155360788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.7508698860597747,0.6742939715944374,0.039752280525566994,0.0,0.465227215666583,0.33584400368231654,0.15917650012553353,0.47619047619047616,0.08804084023767679,0.10293748430831032,0.026362038664323375,0.10193321616871705,0.20453594443049627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.6810633025127686,0.7265944636222343,0.09457621496102173,0.0,0.5752197711063195,0.22892685354121745,0.10127716039144137,0.4682700281970476,0.11975451982086581,0.05748880411345165,0.03824846574888041,0.1337866976281307,0.18245148449162382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9856226978981937,0.20657856891850201,0.02753441802252816,0.0,0.3304130162703379,0.2453066332916145,0.3967459324155194,0.20775969962453067,0.16645807259073842,0.13516896120150187,0.08135168961201501,0.13266583229036297,0.2765957446808511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.9260486892402753,0.2404481136941854,0.020391061452513966,0.0,0.39273743016759777,0.24832402234636872,0.33854748603351953,0.2505586592178771,0.14664804469273743,0.14273743016759777,0.06620111731843575,0.10893854748603352,0.2849162011173184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
